age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
35.0,Private,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1887.0,40.0,United-States,>50K
21.0,Private,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
23.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,16.0,United-States,<=50K
43.0,Private,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
31.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
40.0,State-gov,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,30.0,United-States,<=50K
28.0,Private,Some-college,10.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
42.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0.0,0.0,50.0,United-States,>50K
53.0,Private,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
45.0,Private,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
47.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
56.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,15.0,United-States,<=50K
66.0,Private,Masters,14.0,Widowed,Sales,Not-in-family,White,Male,0.0,0.0,6.0,United-States,<=50K
51.0,Local-gov,9th,5.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
43.0,Private,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,1902.0,32.0,United-States,>50K
25.0,Private,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
36.0,State-gov,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
31.0,Private,Some-college,10.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
44.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1887.0,55.0,United-States,>50K
24.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,State-gov,HS-grad,9.0,Divorced,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
30.0,Private,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
20.0,Private,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,35.0,United-States,<=50K
24.0,Self-emp-inc,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
29.0,Private,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
49.0,Private,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
55.0,Private,Bachelors,13.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,HS-grad,9.0,Never-married,Farming-fishing,Unmarried,White,Male,0.0,0.0,45.0,United-States,<=50K
46.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
29.0,Private,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,4386.0,0.0,80.0,United-States,>50K
59.0,Self-emp-inc,5th-6th,3.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,Italy,<=50K
61.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1848.0,40.0,United-States,>50K
43.0,Private,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,30.0,United-States,>50K
19.0,Without-pay,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,10.0,United-States,<=50K
55.0,Self-emp-not-inc,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
58.0,Private,9th,5.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,El-Salvador,<=50K
37.0,Private,Masters,14.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
48.0,Self-emp-not-inc,Some-college,10.0,Divorced,Sales,Unmarried,White,Male,0.0,0.0,65.0,United-States,>50K
28.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
23.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
45.0,Private,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7298.0,0.0,50.0,United-States,>50K
49.0,Private,HS-grad,9.0,Never-married,Transport-moving,Unmarried,Black,Female,1506.0,0.0,40.0,United-States,<=50K
61.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,3.0,United-States,<=50K
30.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Wife,White,Female,3103.0,0.0,55.0,United-States,>50K
18.0,Private,HS-grad,9.0,Never-married,Other-service,Other-relative,Black,Male,0.0,0.0,36.0,United-States,<=50K
25.0,Federal-gov,HS-grad,9.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,40.0,United-States,<=50K
60.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,Local-gov,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,2202.0,0.0,44.0,United-States,<=50K
49.0,Self-emp-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,50.0,United-States,>50K
46.0,Federal-gov,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1564.0,50.0,United-States,>50K
23.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
47.0,Private,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,>50K
50.0,Private,Bachelors,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
21.0,Private,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,10.0,United-States,<=50K
64.0,Self-emp-not-inc,10th,6.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,10.0,United-States,>50K
33.0,Private,7th-8th,4.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
20.0,Private,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,18.0,United-States,<=50K
68.0,Private,7th-8th,4.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
44.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,56.0,United-States,>50K
44.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,65.0,United-States,>50K
47.0,Private,Some-college,10.0,Divorced,Sales,Own-child,White,Male,0.0,0.0,55.0,United-States,<=50K
56.0,Private,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
18.0,Private,11th,7.0,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,20.0,United-States,<=50K
29.0,Private,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Private,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Local-gov,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,Black,Male,0.0,0.0,99.0,United-States,<=50K
21.0,Local-gov,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,3.0,United-States,<=50K
53.0,Self-emp-not-inc,10th,6.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
30.0,Private,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178.0,0.0,75.0,United-States,>50K
47.0,Private,HS-grad,9.0,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,50.0,United-States,<=50K
42.0,Local-gov,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1902.0,60.0,United-States,>50K
30.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,Ireland,<=50K
40.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
48.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,25.0,United-States,>50K
37.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,20.0,United-States,<=50K
59.0,State-gov,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2179.0,40.0,United-States,<=50K
22.0,Private,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
33.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
19.0,Private,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
21.0,Private,Some-college,10.0,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0.0,1974.0,40.0,United-States,<=50K
42.0,Private,HS-grad,9.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
53.0,Private,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,60.0,United-States,>50K
37.0,Private,Prof-school,15.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
27.0,Private,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
19.0,Private,7th-8th,4.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,25.0,Guatemala,<=50K
46.0,Private,Bachelors,13.0,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,Portugal,<=50K
